Top 5 CITTIES based on weightage scores,State,Mass Markets (W20%),Diverse Workers (W20%),Well-heeled Affluents (20%),Population Growth Rate (10%),Number of Burgalaries reported (10%),Property Crime Rate (10%),Housing Construction (10%),Total Score
Palo Alto,California,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0010
Gravette,Arkansas,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0004,0.0010
North Las Vegas,Nevada,0.0005,0.0001,0.0000,0.0000,0.0002,0.0001,0.0000,0.0010
Nichols,South Carolina,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0003,0.0010
Pensacola,Florida,0.0002,0.0006,0.0001,0.0001,0.0000,0.0000,0.0000,0.0010
Kansas City,Kansas,0.0003,0.0004,0.0000,0.0000,0.0001,0.0001,0.0000,0.0010
Vancouver,Washington,0.0003,0.0003,0.0002,0.0000,0.0001,0.0001,0.0000,0.0010
Clearwater,Florida,0.0002,0.0005,0.0001,0.0000,0.0001,0.0001,0.0000,0.0010
Bear Creek,Alabama,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0006,0.0010
Jersey City,New Jersey,0.0002,0.0004,0.0001,0.0000,0.0001,0.0001,0.0000,0.0010
Evansville,Indiana,0.0002,0.0004,0.0002,0.0000,0.0001,0.0001,0.0000,0.0010
Pasadena,Texas,0.0003,0.0004,0.0001,0.0000,0.0001,0.0001,0.0000,0.0010
Boise,Idaho,0.0002,0.0003,0.0002,0.0000,0.0001,0.0001,0.0000,0.0010
Lansing,Michigan,0.0003,0.0003,0.0001,0.0000,0.0002,0.0001,0.0000,0.0010
Medora,North Dakota,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0004,0.0009
Sugar Land,Texas,0.0001,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0009
Prosper,Texas,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0004,0.0009
Worthing,South Dakota,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0004,0.0009
Grand Prairie,Texas,0.0002,0.0005,0.0001,0.0000,0.0000,0.0001,0.0000,0.0009
Lake Worth,Florida,0.0001,0.0005,0.0002,0.0000,0.0000,0.0000,0.0000,0.0009
Chandler,Arizona,0.0003,0.0002,0.0002,0.0001,0.0001,0.0001,0.0000,0.0009
Flint,Michigan,0.0002,0.0004,0.0000,0.0000,0.0002,0.0001,0.0000,0.0009
Henderson,Nevada,0.0004,0.0001,0.0002,0.0001,0.0000,0.0001,0.0000,0.0009
Watford City,North Dakota,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0003,0.0009
Erie,Pennsylvania,0.0003,0.0003,0.0002,0.0000,0.0000,0.0001,0.0000,0.0009
Lincoln,Massachusetts,0.0000,0.0000,0.0001,0.0004,0.0000,0.0000,0.0004,0.0009
Bradenton,Florida,0.0002,0.0004,0.0001,0.0000,0.0000,0.0000,0.0000,0.0009
Danville,California,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0001,0.0009
Salem,Oregon,0.0003,0.0003,0.0001,0.0000,0.0001,0.0001,0.0000,0.0009
Williamsburg,Virginia,0.0001,0.0000,0.0007,0.0001,0.0000,0.0000,0.0001,0.0009
York,Pennsylvania,0.0003,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0009
Rancho Palos Verdes,California,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0001,0.0009
Northbridge,Massachusetts,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0005,0.0009
New Ellenton,South Carolina,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0003,0.0009
Truro,Massachusetts,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0001,0.0009
Perrysville,Ohio,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0005,0.0009
Worcester,Massachusetts,0.0003,0.0002,0.0001,0.0000,0.0002,0.0001,0.0000,0.0009
Killeen,Texas,0.0004,0.0001,0.0000,0.0001,0.0001,0.0001,0.0000,0.0009
Independence,Missouri,0.0001,0.0004,0.0001,0.0000,0.0001,0.0001,0.0000,0.0009
Lancaster,California,0.0004,0.0002,0.0001,0.0000,0.0001,0.0001,0.0000,0.0009
Cedar Rapids,Iowa,0.0004,0.0002,0.0001,0.0000,0.0000,0.0001,0.0000,0.0009
Summersville,Missouri,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0002,0.0009
Ocala,Florida,0.0002,0.0005,0.0000,0.0000,0.0000,0.0001,0.0000,0.0009
San Rafael,California,0.0001,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0009
Las Cruces,New Mexico,0.0004,0.0002,0.0001,0.0000,0.0000,0.0001,0.0000,0.0009
Vienna,Virginia,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0009
Redfield,Arkansas,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0004,0.0008
Springfield,Illinois,0.0001,0.0003,0.0001,0.0000,0.0002,0.0001,0.0000,0.0008
Leesburg,Virginia,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0001,0.0008
Cape Coral,Florida,0.0004,0.0003,0.0000,0.0000,0.0000,0.0001,0.0000,0.0008
Warren,Michigan,0.0003,0.0004,0.0000,0.0000,0.0001,0.0001,0.0000,0.0008
Santa Barbara,California,0.0000,0.0001,0.0006,0.0000,0.0000,0.0000,0.0000,0.0008
Santa Rosa,California,0.0001,0.0001,0.0004,0.0000,0.0001,0.0001,0.0000,0.0008
Harrisburg,Pennsylvania,0.0003,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0008
Midland,Texas,0.0001,0.0004,0.0002,0.0001,0.0001,0.0001,0.0000,0.0008
Peoria,Illinois,0.0003,0.0003,0.0001,0.0000,0.0001,0.0001,0.0000,0.0008
Glendale,California,0.0003,0.0001,0.0003,0.0000,0.0000,0.0001,0.0000,0.0008
Newport News,Virginia,0.0003,0.0003,0.0001,0.0000,0.0001,0.0001,0.0000,0.0008
South Bend,Indiana,0.0002,0.0005,0.0001,0.0000,0.0000,0.0001,0.0000,0.0008
Herndon,Virginia,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0008
Palm Bay,Florida,0.0005,0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0008
Whittier,California,0.0002,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0008
Livermore,California,0.0000,0.0000,0.0006,0.0001,0.0000,0.0000,0.0001,0.0008
Chula Vista,California,0.0001,0.0003,0.0002,0.0001,0.0001,0.0001,0.0000,0.0008
Mesquite,Texas,0.0003,0.0003,0.0000,0.0000,0.0000,0.0001,0.0000,0.0008
